Sample,X position (mm),Y position (mm),Process state
66,0.841,0.172,Second shim
67,0.000,0.000,Second shim
68,0.859,0.209,Second shim
69,0.920,0.437,Second shim
70,1.355,0.366,Second shim
71,0.757,0.408,Second shim
72,0.996,0.191,Second shim
73,0.781,0.240,Second shim
74,0.850,0.162,Second shim
75,0.775,0.197,Second shim
76,0.640,0.427,Second shim
77,0.936,0.246,Second shim
78,0.751,0.302,Second shim
79,0.796,0.264,Second shim
80,0.842,0.296,Second shim
81,0.831,0.289,Second shim
82,0.810,0.187,Second shim
83,1.200,0.192,Second shim
84,0.808,0.171,Second shim
85,0.807,0.353,Second shim
86,0.979,0.439,Second shim
87,0.168,0.433,Second shim
88,0.734,0.430,Second shim
89,0.767,0.184,Second shim
90,0.781,0.192,Second shim
91,0.673,0.365,Second shim
92,0.841,0.182,Second shim
93,0.945,0.285,Second shim
94,0.644,0.410,Second shim
95,1.219,0.530,Second shim
1,0.757,0.284,Nests aligned
2,0.851,0.334,Nests aligned
3,0.510,0.328,Nests aligned
4,0.667,0.166,Nests aligned
5,1.026,0.196,Nests aligned
6,0.705,0.378,Nests aligned
7,0.909,0.141,Nests aligned
8,0.764,0.350,Nests aligned
9,0.870,0.079,Nests aligned
10,0.935,0.176,Nests aligned
11,0.920,0.307,Nests aligned
12,0.881,0.283,Nests aligned
13,0.793,0.307,Nests aligned
14,0.833,0.192,Nests aligned
15,0.744,0.199,Nests aligned
16,0.821,0.122,Nests aligned
17,0.772,0.115,Nests aligned
18,0.891,0.132,Nests aligned
19,0.963,0.124,Nests aligned
20,0.713,0.263,Nests aligned
21,0.511,0.398,Nests aligned
22,0.589,0.375,Nests aligned
23,0.638,0.175,Nests aligned
24,0.636,0.154,Nests aligned
25,0.713,0.165,Nests aligned
26,0.696,0.254,Nests aligned
27,0.912,0.341,Nests aligned
28,0.790,0.199,Nests aligned
29,0.660,0.283,Nests aligned
30,0.731,0.220,Nests aligned
31,0.000,0.000,Nests aligned
32,0.789,0.364,Nests aligned
33,0.742,0.268,Nests aligned
34,0.950,0.306,Nests aligned
35,0.802,0.346,Nests aligned
36,0.771,0.377,Nests aligned
37,0.733,0.214,Nests aligned
38,0.863,0.141,Nests aligned
39,0.827,0.191,Nests aligned
40,0.836,0.244,Nests aligned
41,0.861,0.259,Nests aligned
42,0.676,0.287,Nests aligned
43,0.698,0.292,Nests aligned
44,0.596,0.274,Nests aligned
45,0.794,0.086,Nests aligned
46,0.688,0.266,Nests aligned
47,0.798,0.141,Nests aligned
48,0.807,0.293,Nests aligned
49,0.918,0.252,Nests aligned
50,0.678,0.366,Nests aligned
51,0.599,0.390,Nests aligned
52,0.653,0.340,Nests aligned
53,0.866,0.142,Nests aligned
54,0.684,0.229,Nests aligned
55,0.784,0.211,Nests aligned
56,0.711,0.361,Nests aligned
57,0.777,0.161,Nests aligned
58,0.740,0.447,Nests aligned
59,0.717,0.329,Nests aligned
